EMMS Collaboratory Team,Spring 2026,WiFi v1.1,192.168.0.108,Meter #8,8,Lab Space #8,2,323,1:52,8/1203,MacAdr8,FALSE,OFF
EMMS Collaboratory Team,Spring 2019,WiFi V1.1,192.172.5.11,Meter #3,3,TCZ A1,null,null,null,null,84:0d:8e:aa:8a:a4,TRUE,OFF
EMMS Collaboratory Team,Spring 2019,WiFi V1.1,192.172.5.13,Meter #10,10,Computer Lab,null,null,null,null,84:0d:8e:aa:84:9b,TRUE,OFF
